question,choice1,choice2,choice3,choice4,choice5,answer,difficulty,topic,free,registered
"In a dual agency, the following fiduciary duty does not need to be upheld",Honesty,All of these need to be upheld,Obedience,Disclosure,Responsible care,2,2,Law of Agency,,
An agent that represents the buyer only is BEST known as a,Buyer's agent,Buyside agent,Seller's agent,Seller's buyer,Buyer's subagent,1,2,Law of Agency,,
An agent that represents the seller only is BEST known as a,Buyer's agent,Buyside agent,Seller's agent,Seller's buyer,Buyer's subagent,3,2,Law of Agency,,
Broker Shantell signs a listing agreement with seller Blake. Shantell is known as a,Buyer's agent,Buyside agent,Seller's agent,Seller's buyer,Buyer's subagent,3,2,Law of Agency,,
Ortiz is looking to buy a house within 30 days and goes on showings with Agent Alyssa. Alyssa is known as a,Buyer's agent,Buyside agent,Seller's agent,Seller's buyer,Buyer's subagent,1,2,Law of Agency,,
Buyer Carlos signs a Buyer Representation Agreement with Broker Winslow. Which of the following is TRUE regarding Winslow?,He is now Carlos's advisor,He is now buyer agent to Carlos,He is dual agent to Carlos and any seller,He is now free from OLDCAR fiduciaries to Carlos,He cannot represent any other buyer,2,2,Law of Agency,,
"In a dual agency, an agent is no longer required to be loyal but is still required to be",Talkative,Completely transparent,Honest,Cautious,Coy,3,3,Law of Agency,,
Broker Jamiel represents seller Safiyah. Buyer Glenn asks Jamiel what amount he should offer. Jamiel should,Not answer because he cannot advise Glenn,Suggest a price to help close the deal,Suggest the asking price as a starting point,Not answer unless disclosure forms are signed,Call Safiyah immediately and disclose the matter,1,3,Law of Agency,,
Broker Jamiel represents seller Safiyah. Buyer Glenn asks Jamiel what amount he should offer. Jamiel should,Say nothing because buyer may offer higher than what Jamiel might suggest,"Jamiel's fiduciary duty is to close the deal, so should suggest a price",Write a number on a piece of paper and hand it to Safiyah,Not answer unless disclosure forms are signed,Document the incident in an affirmation note,1,3,Law of Agency,,
Broker Jamiel represents seller Safiyah. Buyer Glenn asks Jamiel what amount he should offer. Jamiel should,Realize suggesting a price puts Jamiel into an illegal dual agency,"Jamiel's fiduciary duty is to close the deal, so he must suggest a price",Write a number on a piece of paper and hand it to Safiyah,Suggest a price over asking,Ask for a down payment first,1,3,Law of Agency,1,1
A dual agency is only legal when,Seller agrees to it,Buyer agrees to it,Brokerage approves it,Both buyer and seller agree to it,At least one party agrees to it,4,2,Law of Agency,,
"In a dual agency, the following fiduciary duty is considered impossible to maintain for both parties",Honesty,Disclosure,Focus,Obedience,Loyalty,5,2,Law of Agency,,
Buyer Veronica and Seller Pierre agree to let agent Marty be a dual agent. Does Marty owe OLDCAR fiduciary to both?,Yes,Only to who he signed with first,"Yes, except loyalty","No, it's impossible",It's not applicable in a dual agency,3,2,Law of Agency,,
Which document is signed by the buyer and seller to establish an agent's dual agency?,Agency Disclosure Form,Dual Agency Disclosure Form,Dual Agent Consent Form,Form 1098,Form 1099,1,2,Law of Agency,,
Which document is signed by the landlord and tenant to establish an agent's dual agency?,Agency Disclosure Form,Dual Agency Disclosure Form,Dual Agent Consent Form,Property Disclosure,Mandatory Agency Disclosure Petition,1,2,Law of Agency,,
Landlord gives you a thumbs up when you ask to be a dual agent. Tenant Alyssa does the same. Are you now a dual agent?,Yes,"No, it needs to be in writing","No, they both need to meet first","No, a dual agency is illegal","Yes, hand signals are legally enforceable",2,2,Law of Agency,,
Buyer Marx signs your Agent Disclosure Form and agrees to you being a dual agent. Are you now a dual agent?,Yes,"No, seller needs to agree as well","Yes, only one party must sign","No, only the sellers can establish dual agency",None of these,2,2,Law of Agency,,
Seller Woodrow signs your Agent Disclosure Form and agrees to you being a dual agent. Are you now a dual agent?,Yes,"No, the buyer needs to agree as well","Yes, only one party must sign","No, only the buyer can establish dual agency",None of these,2,2,Law of Agency,,
Buyer Ally and Seller Renee agree to Agent Viktor's dual agency in writing. Which of the following is true?,A dual agency is illegal,A dual agency has not been established,Written approval from the brokerage is required,Viktor must be loyal to Ally and Renee,None of these,5,2,Law of Agency,,
A party consents to dual agency by,Reviewing the Agent Disclosure Form,Agreeing to and signing the Agent Disclosure Form,Notarizing the Agent Disclosure Form,Agreeing to the Agent Disclosure Form,Refusing to sign the Agent Disclosure Form,2,2,Law of Agency,,
Agent Linda and agent Vasquez agree to co-broke on a rental. This means that they will,Split commissions,Go broke,Share each other's clients,Invoice landlord jointly,Invoice tenant jointly,1,2,Real Estate Math,,
"In a co-broke, commissions are typically split",50% / 50%,30% / 70%,Favoring the seller's agent,Favoring the buyer's agent,By statute,1,2,Real Estate Math,,
"Agent Augustus and agent Mandel agree to co-broke on a sale. The commission is 6%, how much does each get?",Augustus gets 4%,6%,3%,Mandel gets 3.5%,Depends on the mortgage amount,2,2,Real Estate Math,,
"Agent Augustus and agent Mandel agree to co-broke on a sale. The total commission is 5%, how much does each get?",Augustus gets 4%,5%,2.5%,Mandel gets 3.5%,Title company will set that,2,2,Real Estate Math,1,1
Broker Gus and broker Alonzo agree to co-broke on a $2000 rental. The commission is one month's rent. How much money does each get?,$500 ,$250 ,"$2,000 ","$3,000 ","$1,000 ",5,2,Real Estate Math,,
Agent Axelrod agrees to take 2% for bringing a buyer to seller's agent Martinez. The sale transacted at $1.1M at 6% commission. How much does Martinez take?,"$22,000 ","$66,000 ","$44,000 ","$20,000 ","$2,200 ",1,2,Real Estate Math,,
"A brokerage splits favorably to agents at 70 / 30. On a $2390 commission, an agent at the brokerage would receive",Under $1600 because of tax deductions,$717 ,Under $717 because of tax deductions,"$1,673 ",$167.30 ,4,2,Real Estate Math,,
"A brokerage splits favorably to agents at 60 / 40. On a $3500 commission, an agent at the brokerage would receive",None of these,"$1,400 ","$2,300 ",$220 ,$210.00 ,1,2,Real Estate Math,,1
"A brokerage splits favorably to agents at 90 / 10. On a $4800 commission, an agent at the brokerage would receive","$4,320 ",$480 ," $43,200 ",$0 ,$750.00 ,4,2,Real Estate Math,,
"A brokerage splits favorably to agents at 85 / 15. On a $15,500 commission, an agent at the brokerage would receive","$13,175 ","$2,325 ","$15,500 ",$0 ,None of these,1,2,Real Estate Math,,
"A brokerage splits favorably to agents at 30 / 70. On a $12,000 commission, an agent at the brokerage would receive","$8,400 ",$36 ,"$36,000 ",$360 ,"$3,600.00 ",1,2,Real Estate Math,,
A brokerage splits 50 / 50 with its agent. Their agent Lowe co-brokes on a rental. The rental is $2300 and the commission is 15% of annual. How much does the brokerage keep?,"$1,035 ","$2,070 ","$2,300 ",$518 ,None of these,1,3,Real Estate Math,,
A brokerage splits 50 / 50 with its agent. Their agent Lowe co-brokes on a rental. The rental is $2300 and the commission is 15% of annual. How much Lowe keep?,"$1,035 ","$2,070 ","$2,300 ",$518 ,None of these,1,3,Real Estate Math,,
A brokerage splits 50 / 50 with its agent. Their agent Lowe co-brokes on a rental. The rental is $2300 and the commission is 15% of annual. How much does the brokerage keep?,None of these,"$2,070 ","$2,300 ",$518 ,"$1,030 ",1,3,Real Estate Math,,
"A brokerage splits 70 / 30 with its agent, favoring agents. Their agent Arty co-brokes on a rental. The rental is $3000 and the commission is 15% of annual. How much does the brokerage keep?","$5,400 ","$3,000 ","$2,700 ","$1,890 ",$810.00 ,5,3,Real Estate Math,,1
"A brokerage splits 70 / 30 with its agent, favoring agents. Their agent Arty co-brokes on a rental. The rental is $3000 and the commission is 15% of annual. How much does Arty keep?","$5,400 ","$3,000 ","$2,700 ","$1,890 ",$810.00 ,4,3,Real Estate Math,,
"A brokerage splits 40 / 60 with its agent, favoring agents. Their agent Manuel co-brokes on a rental. The rental is $7000 and the commission is 15% of annual. How much does the brokerage keep?","$12,600 ","$6,300 ","$7,000 ","$2,520 ","$3,780.00 ",4,3,Real Estate Math,,
"A brokerage splits 40 / 60 with its agent, favoring agents. Their agent Manuel co-brokes on a rental. The rental is $7000 and the commission is 15% of annual. How much does Manuel keep?","$12,600 ","$6,300 ","$7,000 ","$2,520 ","$3,780.00 ",5,3,Real Estate Math,1,1
"A brokerage splits 80 / 20 with its agents, favoring agents. Their agent Aleena co-brokes on a sale of a townhouse at $2.3MM. Commission is 6%. How much does the brokerage keep?","$13,800 ","$55,200 ","$69,000 ","$110,400 ","$22,080.00 ",1,3,Real Estate Math,,
"A brokerage splits 80 / 20 with its agents, favoring agents. Their agent Aleena co-brokes on a sale of a co-op at $2.3MM. Commission is 6%. How much does Aleena keep?","$55,200 ","$110,400 ","$22,080 ","$69,000 ","$13,800 ",1,2,Real Estate Math,,
"A brokerage splits 80 / 20 with its agents, favoring agents. Their agent Aleena co-brokes on a sale of a condo at $2.3MM. Commission is 6%. How much is the GROSS commission to the brokerage?","$69,000 ","$110,400 ","$22,080 ","$13,800 ","$55,200 ",1,2,Real Estate Math,,
"A brokerage splits 60 / 40 with its agents, favoring agents. Their agent Prince co-brokes on a $2000. Commission is one month. How much does the brokerage keep?","$2,000 ","$1,000 ",$400 ,$600 ,"$1,400 ",3,2,Real Estate Math,,
"A brokerage splits 60 / 40 with its agents, favoring agents. Their agent Prince co-brokes on a $2000. Commission is one month. How much does Prince keep?","$2,000 ","$1,000 ",$400 ,$600 ,"$1,400 ",4,2,Real Estate Math,,
"A brokerage splits 60 / 40 with its agents, favoring agents. Their agent Prince co-brokes on a $2000. Commission is one month. How much is the GROSS commission to the brokerage?","$2,000 ","$1,000 ",$400 ,$600 ,"$1,400 ",2,2,Real Estate Math,,
"A brokerage splits 60 / 40 with its agents, favoring agents. Their agent Prince co-brokes on a $2000. Commission is one month. How much is the TOTAL GROSS commission to be split between two brokerages?","$2,000 ","$1,000 ",$400 ,$600 ,"$1,400 ",1,2,Real Estate Math,,
"Broker Monica gives her agents 80% of every deal. Her agent Lydia just closed a deal earning the brokerage $36,000 in gross commissions. Lydia would get a check for","$36,000 ","$18,000 ","$9,000 ","$28,800 ","$7,200 ",4,2,Real Estate Math,,
"Broker Monica gives her agents 80% of every deal. Her agent Lydia just closed a deal earning the brokerage $36,000 in gross commissions. Broker Monica's split is","$36,000 ","$18,000 ","$9,000 ","$28,800 ","$7,200 ",5,2,Real Estate Math,,
"Agent Kanye receives a $2000 check from his broker for a rental he co-broked on. If the commission was one months rent and the split is 50/50, how much was the rental?","$2,000 ","$4,000 ","$8,000 ","$16,000 ","$12,000 ",3,3,Real Estate Math,,
"Agent Belinda receives a $3000 check from her broker for a rental she co-broked on. If the commission was one months rent and the split is 50/50, how much was the rental?","$3,000 ","$6,000 ","$16,000 ","$12,000 ","$8,000 ",4,3,Real Estate Math,,
"Agent Goji receives a $3000 check from his broker for a rental he co-broked on. If the commission was one months rent and the split is 50/50, how much was the rental?","$3,000 ","$6,000 ","$12,000 ","$12,500 ","$18,000 ",3,3,Real Estate Math,,
"Agent Tamara receives a $805 check from her broker for a rental she co-broked on. If the commission was one months rent and she gets a 70%, how much was the rental?","$2,300 ","$1,150 ",$805 ,$345 ,$0 ,1,3,Real Estate Math,,
"Agent Tamara receives a $805 check from her broker for a rental she co-broked on. If the commission was one months rent and she gets a 70%, how much was the TOTAL GROSS commission?","$2,300 ","$1,150 ",$805 ,$345 ,$0 ,1,3,Real Estate Math,1,1
"Agent Tamara receives a $805 check from her broker for a rental she co-broked on. If the commission was one months rent and she gets a 70%, how much did the brokerage earn?","$2,300 ","$1,150 ",$805 ,$345 ,$0 ,4,3,Real Estate Math,,
"Agent Ricardo's gets a 70% split from his brokerage. He co-brokes on a rental and takes 70%. If he earns $3704.40, how much was the rental?","$4,200 ","$7,560 ","$3,704.40 ","$5,292 ","$1,587.60 ",1,3,Real Estate Math,,
"Agent Ricardo's gets a 70% split from his brokerage. He co-brokes on a rental and takes 70%. If he earns $3704.40, how much was the TOTAL GROSS commission?","$4,200 ","$7,560 ","$3,704.40 ","$5,292 ","$1,587.60 ",2,3,Real Estate Math,,1
"Agent Ricardo's gets a 70% split from his brokerage. He co-brokes on a rental and takes 70%. If he earns $3704.40, how much was the GROSS commission to his brokerage?","$4,200 ","$7,560 ","$3,704.40 ","$5,292 ","$1,587.60 ",4,3,Real Estate Math,,
"Agent Ricardo's gets a 70% split from his brokerage. He co-brokes on a rental and takes 70%. If he earns $3704.40, how much did the brokerage keep?","$4,200 ","$7,560 ","$3,704.40 ","$5,292 ","$1,587.60 ",5,3,Real Estate Math,,
"Agent Blake works on a 100% commission split and co-brokes for 3% out of 6% on a sale. He receives a check for $75,000 from his brokerage. What was the sale price?","$2,500,000 ","$2,750,000 ","$3,000,000 ","$1,250,000 ","$5,000,000 ",1,3,Real Estate Math,,
"Agent Blake works on a 100% commission split and co-brokes for 3% out of 6% on a sale. He receives a check for $75,000 from his brokerage. What was the TOTAL GROSS commission?","$300,000 ","$150,000 ","$75,000 ","$25,000 ","$100,000 ",2,3,Real Estate Math,,
"Agent Blake works on a 100% commission split and co-brokes for 3% out of 6% on a sale. He receives a check for $75,000 from his brokerage. What was the GROSS commission received by his brokerage?","$300,000 ","$150,000 ","$75,000 ","$25,000 ","$100,000 ",3,3,Real Estate Math,,
"Agent Blake works on a 100% commission split and co-brokes for 3% out of 6% on a sale. He receives a check for $75,000 from his brokerage. What was the commission amount kept by his brokerage?","$300,000 ","$150,000 ","$75,000 ","$25,000 ",$0 ,5,3,Real Estate Math,,
"Agent Blake works on a 100% commission split and co-brokes for 3% out of 6% on a sale. He receives a check for $75,000 from his brokerage. What was the commission amount kept by him?","$300,000 ","$150,000 ","$75,000 ","$25,000 ",$0 ,3,3,Real Estate Math,,
A brokerage receives gross commissions of $1620 on a co-broke rental. The commission was 15% of annual. How much was the TOTAL GROSS commission?,"$3,240 ","$1,800 ","$1,620 ",$810 ,$0 ,1,3,Real Estate Math,,1
A brokerage receives gross commissions of $1620 on a co-broke rental. The commission was 15% of annual. How much was the gross commission to the brokerage?,"$3,240 ","$1,800 ","$1,620 ",$810 ,$0 ,3,3,Real Estate Math,,
A brokerage receives gross commissions of $1620 on a co-broke rental. The commission was 15% of annual. How much was the rental?,"$3,240 ","$1,800 ","$1,620 ",$810 ,$0 ,2,3,Real Estate Math,,
"On the New York State exam, co-brokers represent",Seller,Buyer,Dual agents,No one,None of these,1,2,Law of Agency,1,1
Co-brokers are subagents of,Seller client and broker,Landlord and tenants,Title insurance,Transaction,OLDCAR fiduciaries,1,2,Law of Agency,,
Which of the following are legal commission split scenarios in a co-broke?,90% / 10%,50% / 50%,100% / 0%,30% / 70%,All of these,5,3,Law of Agency,,
A capital reserve fund is used to,Accrue money for future repairs in a building,By a co-op to buy out shareholders,By a co-op to store flip taxes,By a condo to pay real estate agents,None of these,1,2,Property Management,,
"To be able to have funds for sudden and unexpected repairs, a building management company may accrue funds into a / an",Escrow account,Capital reserve fund,Down payment fund,Security deposit fund,Offshore bank account,2,2,Property Management,,
A capital reserve budget is allocated to address expenses that are,Constant,Fixed,Known,Variable,Flat,4,2,Property Management,,
A capital reserve budget is allocated to address expenses that are,Constant,Fixed,Known,Unexpected,Flat,4,2,Property Management,,
A capital reserve budget is allocated to address expenses that are,Predictable,Fixed,Historic,Sudden and unexpected,Steady and known,4,2,Property Management,,
A loft is an apartment that,Is on a high floor,Has high ceilings,Is on a low floor,Always sells for less,Undivided open space,5,1,Commercial / Investment,,1
An apartment that has open space and has not divided into rooms is known as a,Hall,Loft,Penthouse,Stretchway,None of these,2,1,Commercial / Investment,,
A loft lease is a rental lease on a,Unit on a high floor,Unit on a low floor,Penthouse,Loft,Lofty priced unit,4,1,Commercial / Investment,,
The C in OLDCAR stands for,Care,Caution,Correctness,Confidentiality,Classified,4,1,Law of Agency,,
The O in OLDCAR stands for,Obedience,Outright,Ordinance,Offerable,Obey,1,1,Law of Agency,,
Confidentiality in OLD CAR means an agent,Can only client information with customers,Cannot share confidential information with anyone,Can release information only after deal is done,Should not share illegal property conditions,None of these,2,2,Law of Agency,,
Which of the following fiduciary duties is perpetual beyond a transaction with a client?,Obedience,Confidentiality,Responsible care,Accountability,None of these,2,2,Law of Agency,1,1
Which of the following fiduciary duties is perpetual beyond a transaction with a client?,Obedience,None of these,Responsible care,Accountability,Loyalty,2,2,Law of Agency,,
"Broker Martha represents seller McKay. She knows the roof will collapse any day now. When a buyer asks about the condition of the roof, can she choose to keep it confidential and claim the roof is fine?","Yes, confidentiality is the C in OLDCAR","Yes, she serves the seller","No, that would be misrepresentation","Yes, it's not her house","Yes, closing the deal is what matters",3,2,Law of Agency,,
Samantha is selling her 3-bedroom condo in the Upper West side. Her agent knows the floor's beam is broken. Samantha is expecting her agent to keep this confidential. Is that a reasonable expectation?,"Yes, confidentiality is the C in OLDCAR","Yes, the agent is required to obey Samantha","Yes, the agent must be loyal to Samantha","No, OLDCAR does not cover misrepresentation",None of these,4,2,Law of Agency,,
Samantha is selling her 3-bedroom condo in the Upper West side. Her agent knows the floor's beam is broken. Samantha is expecting her agent to keep this confidential. Is that a reasonable expectation?,"Yes, confidentiality is the C in OLDCAR","Yes, the agent is required to obey Samantha","Yes, the agent must be loyal to Samantha",None of these,Yes,4,2,Law of Agency,,
All of the following fiduciary duties end at the completion of a transacton EXCEPT,Accountability,Obedience,Loyalty,Confidentiality,Responsible care,4,2,Law of Agency,,
Zoning laws classify warehouses as,Manufacturing,Industrial,Residential,Retail,None of these,1,1,Land Use Regulation,,1
Zoning laws classify factories as,Manufacturing,Industrial,Residential,Retail,None of these,1,1,Land Use Regulation,,
Zoning laws classify distribution hubs as,Manufacturing,Industrial,Residential,Retail,None of these,1,1,Land Use Regulation,,
Zoning laws classify shopping malls as,Manufacturing,Industrial,Residential,Retail,None of these,4,1,Land Use Regulation,,
The type of lease used for an unimproved space that was once a storage depot is called a / an,Step lease,Accelerated lease,Graduated lease,Commercial lease,Loft lease,5,2,Property Management,,
Buyer Alison discloses to agent Lorin that she is about file for bankruptcy. Lorin's client seller Arthur does not know this. Should Lorin tell her?,"No, Lorin needs to keep it confidential","No, it is not material","No, Lorin needs to be loyal to Alison","Yes, Lorin's fiduciary duty is to Arthur",Yes and Lorin should advise Arthur to still do the deal,4,2,Law of Agency,,1
Does an agent owe the fiduciary duty of confidentiality to someone that isn't her client?,"Yes, agent's must be upstanding citizens","Yes, non-clienets are human after all","Yes, OLDCAR is blind to who it is",No,"No, but the agent does owe loyalty",4,2,Law of Agency,,
Agent Marika learns confidentially from a friend that a building is infested with rodents. Marika's buyer may wish to see some units in that building next week. Is Marika required to keep that information confidenetial?,"Yes, it's her friend",Depends on her relationship with the friend,"No, it's a difficult situation but her fiduciary duty is with the buyer client","Yes, disclosing it could hurt the deal","Yes, disclosing it could hurt the building's reputation",3,2,Law of Agency,,
An acceleration clause allows a bank to,Make the full amount of a mortgage due immediately,Depreciates the mortgage faster,Reduces the mortgage duration term by half,Seize assets immediately,Foreclose immediately,1,2,Mortgage,,
An acceleration clause allows a bank to,None of these,Depreciates the mortgage faster,Reduces the mortgage duration term by half,Seize assets immediately,Foreclose immediately,1,2,Mortgage,,
Borrower Bob has failed to pay his mortgage for over 3 months. Which clause in his mortgage note will his bank most likely execute?,Acceleration,Reset,Mercy,Marshall seizure,Modification,1,2,Mortgage,,
"If a borrower defaults, the lending bank will exercise which clause to cause all payments to be due now",Foreclosure,Hypothecation,Installment sales,Acceleration,Loan mod,4,2,Mortgage,,
General Business Law 36B is a warranty on new construction that provides which ONE of the following?,1 year warranty on workmanship,2 year warranty on workmanship,5 year warranty on workmanship,6 year warranty on workmanship,3 year warranty on workmanship,1,2,Construction,,1
General Business Law 36B is a warranty on new construction that provides which ONE of the following?,6 years on electrical work,1 year on electrical work,4 years on electrical work,5 years on electrical work,2 years on electrical work,5,2,Construction,,
General Business Law 36B is a warranty on new construction that provides which ONE of the following?,6 years on material,2 years on material,1 year on material,3 years on material,4 years on material,1,2,Construction,,
General Business Law 36B is a warranty on new construction that provides which ONE of the following?,2 year on workmanship,3 years on plumbing,6 years on trades,1 year on workmanship,3 years on material defects,4,2,Construction,,
General Business Law 36B is a warranty on new construction that provides which ONE of the following?,2 year on workmanship,3 years on plumbing,6 years on trades,2 years on trades,3 years on material defects,4,2,Construction,,
General Business Law 36B is a warranty on new construction that provides which ONE of the following?,2 year on workmanship,3 years on plumbing,6 years on trades,6 years on material defects,3 years on material defects,4,2,Construction,,
"The following years are NOT associated with the General Business Law 36B in any of its coverages related to workmanship, trades and material?",1,2,6,None of these,"3 , 4 or 5",5,2,Construction,,
"The following years are associated with the General Business Law 36B in any of its coverages related to workmanship, trades and material?","1,2 and 6","3,4 and 5","1,2 and 5","1,3 and 5","2,3 and 6",1,2,Construction,,
"When a bank declares an entire mortgage due now, it is exercising the following clause",Acceleration,Repayment,Mercy,Marshall seizure,Modification,1,2,Mortgage,1,1
The Internal Revenue Service classifies income in the following three ways,"Active, Inactive, Passing","Active, Portfolio, Passive","Acting, Portfolio, Passing","Active, Passive, Contract","Short-term, Long-term, Medium-term",2,2,Income Tax,,
The IRS classifies income in the following ways EXCEPT,Active,Passive,Portfolio,"Active, Passive or Portfolio","Active, Inactive or Portfolio",5,2,Income Tax,,
An example of an active income is,Stocks,Bond,Real estate investment,Salary,Treasuries,4,2,Income Tax,,
An example of passive income is,A temp job,Real estate agent,Stocks,Real estate investment,Driving Uber,4,2,Income Tax,,
An example of portfolio income is,Lyft driver,Rental income from portfolio of properties,Government bond,Government employment,None of these,3,2,Income Tax,,
Greg generates some income from dividends in a stock he owns. This type of income is classified by the IRS as,Passive,Reactive,Portfolio,Inactive,Short-term,3,2,Income Tax,,
Buck owns 6 rental properties. The rental income is classfied by the IRS as,Passive,Residual,Active,Portfolio,Long-term investment,1,2,Income Tax,,
Alexa works as the marketing VP of an airline and recieves a regular salary. The IRS classifies this income as,Active,Passive,Portfolio,Residual,Temporary,1,2,Income Tax,,
General Business Law 36-B does NOT cover,New homes,New construction,New condos,New co-ops,Existing homes,5,1,Construction,,1
A mortgage that covers more than one property is known as,Parcel,Extended,Umbrella,Blanket,Broadened,4,2,Mortgage,,
A blanket mortgage covers,More than one property,The heating requirements of a house,All of the home's costs,Purchase and renovation costs,None of these,1,2,Mortgage,,
Trip wishes to get a loan on 3 properties. Which type of mortgage would allow him to do that?,Parcel,Extended,Umbrella,Blanket,Broadened,4,2,Mortgage,,
A bridge mortgage,Connects two properties into one,Uses one property to obtain a loan on another,Covers personal and property,Is used to buy a bridge,Is used for public infrastructure,2,2,Mortgage,,
Walter owns a home in Sunnyville and wishes to use it as collateral on a mortgage for a second property. This type of loan is called,Package,Bridge,Umbrella,Wraparound,Blanket,2,2,Mortgage,1,1
A package loan covers,Real and personal property,Moving costs,Personal property,The interior and exterior of a home,None of these,1,2,Mortgage,,
Sam finances the purchase of a condo and furnishings. This type of mortgage is called,Bridge,Wraparound,Blanket,Package,Unified,4,2,Mortgage,,
In a wraparound mortgage the buyer makes mortgage payments to the,Bank,Seller,Escrow,Auditor,Agent,2,2,Mortgage,,
"In a wraparound mortgage, the seller receives mortgage payments from the",Buyer,Bank,Insurance company,Co-op board,Mortgage servicer,1,2,Mortgage,,
"In a wrap around mortgage, the seller makes payments to the",Buyer,Bank,Insurance company,Co-op board,Mortgage servicer,2,2,Mortgage,,
"In a wrap around mortgage, the bank receives payments from the",Seller,Mortgage broker,Insurance company,Co-op board,Mortgage servicer,1,2,Mortgage,,
In a wraparound mortgage,The buyer pays the bank who in turn pays the seller,The buyer pays the bank,The buyer pays the seller,None of these,The buyer pays the seller who in turn pays the bank,5,2,Mortgage,,
Buyer Nancy structures a mortgage where she pays the seller and the seller keeps his mortgage and pays the bank. This type of mortgage is known as,Package,Bridge,Umbrella,Wraparound,Blanket,4,2,Mortgage,,1
Tricia sells her home to a buyer but keeps her mortgage with the bank. The buyer finances from Tricia. This loaon structure is known as,Package,Bridge,Umbrella,Wraparound,Blanket,4,2,Mortgage,,
A mortgage where interest is paid off entirely first is called,Interest-only,Straight-term,Upside down,Backwardation,Reverse mortgage,2,2,Mortgage,,
A straight term mortgage is where,Interest is paid off first,Payments are applied only to interest due,The interest rate is fixed,The term is 20 or 30 years,None of these,1,3,Mortgage,,
Hilda gets a mortgage from the bank where agrees to pay off the interest first. This type of mortgage is known as,Interest-only,Straight-term,Upside down,Backwardation,Reverse mortgage,2,2,Mortgage,,
"In the context of mortgages, an ARM stands for",Adjustable-Rate Mortgage,Aggregated Rate Mortgage,Adjustable-Rated Mortgage,Automatically Rated Mortgage,None of these,1,1,Mortgage,,
"In the context of mortgages, an ARM stands for",None of these,Aggregated Rate Mortgage,Adjustable-Rated Mortgage,Automatically Rated Mortgage,Adjusted Rating Mechanism,1,2,Mortgage,1,1
A straight term mortgage is where,Interest is paid off first,None of these,The interest rate is fixed,The term is 20 or 30 years,The rate is adjustable,1,3,Mortgage,,
The 1968 Federal Fair Housing Act gives real estate rights regardless of the following,Race,Religion,National origin,National origin and religion,Source of income,4,2,Fair Housing,,
The Federal law that disallows housing discrimination based on religion and national origin was enacted in,1954,1968,1988,1868,1866,2,2,Fair Housing,,
The law that disallows housing discrimination based on national origin is known as,Federal Fair Housing Act,Civil Rights Act of 1968,Civil Rights Act of 1866,Federal Emergency Act,None of these,1,2,Fair Housing,,
The law that disallows housing discrimination based on religion is known as,Federal Fair Housing Act,Civil Rights Act of 1968,Civil Rights Act of 1866,Federal Emergency Act,None of these,1,2,Fair Housing,,
The 1968 Federal Fair Housing Act gives real estate rights regardless of religion and,Race,Color,Familial status,Sexual orientation,National origin,5,2,Fair Housing,,
The 1968 Federal Fair Housing Act gives real estate rights regardless of national origin and,Race,Color,Familial status,Sexual orientation,Religion,5,2,Fair Housing,,
The 1968 Federal Fair Housing Act gives real estate rights regardless of national origin and,Race,Color,Familial status,Sexual orientation,None of these,5,2,Fair Housing,,
The Federal law that disallows housing discrimination based on religion and national origin was enacted in,1954,None of these,1988,1868,1866,2,2,Fair Housing,,1
The Amendment to the Federal Fair Housing Act was passed in,1954,1968,1988,1868,1866,3,2,Fair Housing,,
"In 1988, an amendment to which of the following Federal law was made?",Federal Fair Housing Act,Civil Rights Act of 1968,Civil Rights Act of 1866,Federal Emergency Act,None of these,1,2,Fair Housing,,
The Fair Housing Act was passed and then amended in what years respectively?,1866 and 1968,1968 and 1998,1986 and 1988,1968 and 1988,1968 and 1986,4,2,Fair Housing,,
The Amendment to the Federal Fair Housing Act added which protected classes?,Religion and national origin,Family status and disabled,Disabled and race,All races with no exceptions,None of these,2,2,Fair Housing,,
Family status and people with disability become protected classes under which act?,1988 Amendment to Federal Fair Housing Act,Civil Rights Act of 1968,1968 Federal Fair Housing Act,1986 Amendment to Federal Fair Housing Act,1968 Amendment to Federal Fair Housing Act,1,2,Fair Housing,1,1
Landlord Rick informs he does not wish to have families with kids renting units in his 50-unit building. This is a violation of,1988 Amendment to Federal Fair Housing Act,Civil Rights Act of 1968,1968 Federal Fair Housing Act,1986 Amendment to Federal Fair Housing Act,1968 Amendment to Federal Fair Housing Act,1,2,Fair Housing,,
Seller Monica decides people in wheelchairs are not allowed to see the condo she is selling. She is in violation of,1988 Amendment to Federal Fair Housing Act,Civil Rights Act of 1968,1968 Federal Fair Housing Act,1986 Amendment to Federal Fair Housing Act,1968 Amendment to Federal Fair Housing Act,1,2,Fair Housing,,
The 1988 Amendment to the Federal Fair Housing Act permits disabled tenants to,Require wheelchair access of home owners,Obtain free housing for assistants,Make reasonable modifications to their dwellings,Leave equipment in the lobby of a building,None of these,3,2,Fair Housing,,
Disabled tenants making reasonable modifications to an apartment are required to,Restore apartment back to original state on their own expense,Restore apartment back to original state on at the expense of the landlord,Leave it as is when moving out,Expand modifications every year,Use an architect prior to making any modification,2,2,Fair Housing,,
Tenants with disabilities that mak reasonable modifications to an apartment are required to,Restore apartment back to original state on their own expense,None of these,Leave it as is when moving out,Expand modifications every year,Use an architect prior to making any modification,2,2,Fair Housing,,
